variable,level,contrast,N,effect,lo,hi
income_h,1.0,medical-cash,146,-0.05855855855855863,-0.6204744322677337,0.5033573151506164
income_h,1.0,medical-food,159,0.2904610492845783,-0.2181497932151263,0.7990718917842828
income_h,2.0,medical-cash,187,-0.1265750286368843,-0.5675079775787844,0.31435792030501575
income_h,2.0,medical-food,198,0.009259259259259078,-0.4260214924816023,0.44454001100012047
income_h,3.0,medical-cash,627,-0.34646271120803895,-0.5751851833898809,-0.11774023902619696
income_h,3.0,medical-food,585,-0.1332993817656396,-0.3673280642282556,0.10072930069697641
income_h,4.0,medical-cash,1564,-0.20467629664520848,-0.3558222584267169,-0.05353033486370007
income_h,4.0,medical-food,1617,-0.12101010101010079,-0.26794686339992557,0.025926661379723992
income_h,5.0,medical-cash,886,-0.43231441048034913,-0.6292836913838312,-0.23534512957686704
income_h,5.0,medical-food,870,-0.37891635222792175,-0.5800114396316736,-0.17782126482417
income_h,6.0,medical-cash,251,-0.7280868902439024,-1.1545071545570413,-0.3016666259307635
income_h,6.0,medical-food,270,-0.4798407167745147,-0.8718925608294211,-0.08778887271960822
q43_edu,1.0,medical-cash,149,0.08143734200072217,-0.4927534608606402,0.6556281448620845
q43_edu,1.0,medical-food,152,0.5755370755370754,0.07505808444582407,1.076016066628327
q43_edu,2.0,medical-cash,633,-0.32682707667731625,-0.5666639763238065,-0.08699017703082601
q43_edu,2.0,medical-food,616,-0.1500015816278113,-0.39062047195664445,0.09061730870102186
q43_edu,3.0,medical-cash,904,-0.18790727277178076,-0.37869211999803937,0.002877574454477838
q43_edu,3.0,medical-food,935,-0.15958605664488035,-0.3485716736480253,0.029399560358264604
q43_edu,4.0,medical-cash,1797,-0.3580254105980787,-0.49962650926987323,-0.21642431192628414
q43_edu,4.0,medical-food,1819,-0.23913768962340143,-0.3782019476527464,-0.10007343159405646
q43_edu,5.0,medical-cash,178,-0.7752936718453958,-1.2553235343197295,-0.2952638093710619
q43_edu,5.0,medical-food,177,-0.6489905443393815,-1.13578477706214,-0.16219631161662285
q30_medexp,1.0,medical-cash,58,-1.1214285714285712,-1.8942439052761113,-0.348613237581031
q30_medexp,1.0,medical-food,56,-0.4285714285714286,-1.198924882801657,0.3417820256587998
q30_medexp,2.0,medical-cash,670,-0.31828902229845646,-0.5341740570186303,-0.10240398757828262
q30_medexp,2.0,medical-food,690,-0.29333647122108664,-0.5051579629674074,-0.0815149794747658
q30_medexp,3.0,medical-cash,1438,-0.38183295449049703,-0.5330623612960105,-0.23060354768498362
q30_medexp,3.0,medical-food,1463,-0.28769087001214855,-0.436708800892878,-0.13867293913141912
q30_medexp,4.0,medical-cash,987,-0.30636094674556213,-0.501063719063806,-0.11165817442731829
q30_medexp,4.0,medical-food,996,-0.14526687721590958,-0.3355958973369262,0.04506214290510702
q30_medexp,5.0,medical-cash,412,0.06043243498149087,-0.26290397874141175,0.3837688487043935
q30_medexp,5.0,medical-food,385,0.2903417694138004,-0.041776502040724584,0.6224600408683254
q30_medexp,6.0,medical-cash,96,-0.16173913043478283,-0.9364366659757183,0.6129584051061526
q30_medexp,6.0,medical-food,109,-0.19084745762711863,-0.9059321462926381,0.5242372310384008
