sample,variable,se_type,effect,se,lo,hi,p,N
R,income_h,HC1,-0.1456518844339178,0.05353729375574121,-0.2505830520249117,-0.0407207168429239,0.006516973318049677,5497
R,q43_edu,HC1,-0.1123905786416445,0.0524457990691894,-0.21518245595768,-0.009598701325609,0.032114275409832846,5497
R,q30_medexp,HC1,0.15930537564110045,0.0527860395661846,0.05584663920487233,0.2627641120773286,0.0025449490628858943,5497
R,income_h,HC3,-0.1456518844339178,0.0538006200232437,-0.25109916202539995,-0.04020460684243567,0.006784255466191831,5497
R,q43_edu,HC3,-0.1123905786416445,0.05266470166676348,-0.21561149716504746,-0.009169660118241538,0.03283640040791873,5497
R,q30_medexp,HC3,0.15930537564110045,0.053028247239586684,0.05537192088822501,0.2632388303939759,0.002663146311995409,5497
A,income_h,HC1,-0.15158392690696,0.053363382606391695,-0.2561742349087189,-0.04699361890520111,0.004502901137824737,5480
A,q43_edu,HC1,-0.11699433511044735,0.0524074497127928,-0.21971104906911523,-0.014277621151779468,0.02558860791189848,5480
A,q30_medexp,HC1,0.1564331955806738,0.05273527057538921,0.053073964537936114,0.2597924266234115,0.0030132154026583573,5480
A,income_h,HC3,-0.15158392690696,0.053622813739215874,-0.25668271058552267,-0.046485143228397294,0.004700758661609699,5480
A,q43_edu,HC3,-0.11699433511044735,0.05262395412660578,-0.22013538992268264,-0.013853280298212062,0.026201343073395385,5480
A,q30_medexp,HC3,0.1564331955806738,0.05297218488814586,0.052609621017511016,0.26025677014383664,0.00314580092923101,5480
C,income_h,HC1,-0.14479132635535552,0.05476810943242816,-0.25213484834426314,-0.037447804366447915,0.008200143041768656,5171
C,q43_edu,HC1,-0.09663907758041017,0.053805115204557996,-0.2020951655653723,0.008817010404551961,0.07247947102587796,5171
C,q30_medexp,HC1,0.17041859757290634,0.0543454901784564,0.06390339410095656,0.2769338010448561,0.001713644327006731,5171
C,income_h,HC3,-0.14479132635535552,0.05504628095420554,-0.2526800545084715,-0.03690259820223955,0.008529544627352581,5171
C,q43_edu,HC3,-0.09663907758041017,0.05402731556425385,-0.20253067026772803,0.009252515106907694,0.07366189561881638,5171
C,q30_medexp,HC3,0.17041859757290634,0.054594306712439616,0.06341572265559137,0.2774214724902213,0.0017990461153832224,5171
Q1,income_h,HC1,-0.19757815057125383,0.07318598551981914,-0.3410200463631693,-0.054136254779338394,0.0069407882860673,2715
Q1,q43_edu,HC1,-0.09719145081478998,0.07537466453305698,-0.24492307864637025,0.05054017701679027,0.19724357997834507,2715
Q1,q30_medexp,HC1,0.1837492750261202,0.07333373803600834,0.040017789623848776,0.32748076042839164,0.012222374087546594,2715
Q1,income_h,HC3,-0.19757815057125383,0.07382232062738682,-0.34226724025610034,-0.052889060886407324,0.007441749407556945,2715
Q1,q43_edu,HC3,-0.09719145081478998,0.07594197398978621,-0.24603498474964852,0.05165208312006854,0.2006112569444155,2715
Q1,q30_medexp,HC3,0.1837492750261202,0.07393982453474941,0.0388298819148003,0.3286686681374401,0.012950807433554003,2715
Q2,income_h,HC1,-0.19712997703886848,0.11338291556841118,-0.4193564080151002,0.025096453937363233,0.0821013586047596,1208
Q2,q43_edu,HC1,-0.21213989715245313,0.11883024854622568,-0.4450429045769986,0.020763110272092322,0.07422323655059225,1208
Q2,q30_medexp,HC1,0.14441731986398554,0.10712680930619843,-0.06554736815485368,0.35438200788282476,0.1776272173840605,1208
Q2,income_h,HC3,-0.19712997703886848,0.11546189685368749,-0.4234311364587745,0.02917118238103758,0.0877632804533301,1208
Q2,q43_edu,HC3,-0.21213989715245313,0.1209237731264611,-0.4491461373550093,0.024866343050103074,0.07937441114865444,1208
Q2,q30_medexp,HC3,0.14441731986398554,0.10892927962459553,-0.06908014506211443,0.35791478479008554,0.18490935681449017,1208
