scope,form,amount,category,N,count,share,cumulative_share
form,cash,all,1,1798,498,0.27697441601779754,0.27697441601779754
form,cash,all,2,1798,347,0.19299221357063404,0.4699666295884316
form,cash,all,3,1798,388,0.21579532814238042,0.685761957730812
form,cash,all,4,1798,286,0.15906562847608455,0.8448275862068966
form,cash,all,5,1798,112,0.06229143492769744,0.907119021134594
form,cash,all,6,1798,167,0.092880978865406,1.0
form,food,all,1,1836,558,0.30392156862745096,0.30392156862745096
form,food,all,2,1836,360,0.19607843137254902,0.5
form,food,all,3,1836,406,0.22113289760348584,0.7211328976034859
form,food,all,4,1836,259,0.14106753812636166,0.8622004357298475
form,food,all,5,1836,103,0.056100217864923745,0.9183006535947712
form,food,all,6,1836,150,0.08169934640522876,1.0
form,medical,all,1,1863,665,0.3569511540526033,0.3569511540526033
form,medical,all,2,1863,346,0.18572195383789586,0.5426731078904992
form,medical,all,3,1863,402,0.21578099838969403,0.7584541062801933
form,medical,all,4,1863,242,0.12989801395598496,0.8883521202361782
form,medical,all,5,1863,113,0.06065485775630703,0.9490069779924852
form,medical,all,6,1863,95,0.05099302200751476,1.0
amount,all,200,1,1848,598,0.3235930735930736,0.3235930735930736
amount,all,200,2,1848,331,0.1791125541125541,0.5027056277056277
amount,all,200,3,1848,362,0.1958874458874459,0.6985930735930735
amount,all,200,4,1848,272,0.1471861471861472,0.8457792207792207
amount,all,200,5,1848,104,0.05627705627705628,0.9020562770562771
amount,all,200,6,1848,181,0.09794372294372294,1.0
amount,all,1000,1,1827,557,0.30487137383689106,0.30487137383689106
amount,all,1000,2,1827,365,0.19978106185002736,0.5046524356869184
amount,all,1000,3,1827,399,0.21839080459770116,0.7230432402846196
amount,all,1000,4,1827,271,0.14833059660645867,0.8713738368910783
amount,all,1000,5,1827,106,0.058018609742747675,0.9293924466338259
amount,all,1000,6,1827,129,0.07060755336617405,1.0
amount,all,5000,1,1822,566,0.3106476399560922,0.3106476399560922
amount,all,5000,2,1822,357,0.1959385290889133,0.5065861690450055
amount,all,5000,3,1822,435,0.23874862788144896,0.7453347969264544
amount,all,5000,4,1822,244,0.13391877058177826,0.8792535675082327
amount,all,5000,5,1822,118,0.06476399560922064,0.9440175631174533
amount,all,5000,6,1822,102,0.05598243688254665,1.0
cell,cash,200,1,619,169,0.2730210016155089,0.2730210016155089
cell,cash,200,2,619,112,0.18093699515347333,0.45395799676898224
cell,cash,200,3,619,126,0.2035541195476575,0.6575121163166397
cell,cash,200,4,619,98,0.1583198707592892,0.815831987075929
cell,cash,200,5,619,31,0.050080775444264945,0.8659127625201939
cell,cash,200,6,619,83,0.13408723747980614,1.0
cell,cash,1000,1,595,170,0.2857142857142857,0.2857142857142857
cell,cash,1000,2,595,115,0.19327731092436976,0.4789915966386555
cell,cash,1000,3,595,119,0.2,0.6789915966386555
cell,cash,1000,4,595,97,0.16302521008403362,0.8420168067226891
cell,cash,1000,5,595,41,0.06890756302521009,0.9109243697478991
cell,cash,1000,6,595,53,0.08907563025210084,1.0
cell,cash,5000,1,584,159,0.2722602739726027,0.2722602739726027
cell,cash,5000,2,584,120,0.2054794520547945,0.4777397260273973
cell,cash,5000,3,584,143,0.24486301369863014,0.7226027397260274
cell,cash,5000,4,584,91,0.1558219178082192,0.8784246575342466
cell,cash,5000,5,584,40,0.0684931506849315,0.946917808219178
cell,cash,5000,6,584,31,0.053082191780821915,1.0
cell,food,200,1,614,191,0.31107491856677527,0.31107491856677527
cell,food,200,2,614,106,0.17263843648208468,0.4837133550488599
cell,food,200,3,614,122,0.1986970684039088,0.6824104234527687
cell,food,200,4,614,95,0.15472312703583063,0.8371335504885994
cell,food,200,5,614,39,0.06351791530944625,0.9006514657980456
cell,food,200,6,614,61,0.0993485342019544,1.0
cell,food,1000,1,620,186,0.3,0.3
cell,food,1000,2,620,123,0.19838709677419356,0.49838709677419357
cell,food,1000,3,620,141,0.22741935483870968,0.7258064516129032
cell,food,1000,4,620,94,0.15161290322580645,0.8774193548387097
cell,food,1000,5,620,32,0.05161290322580645,0.9290322580645162
cell,food,1000,6,620,44,0.07096774193548387,1.0
cell,food,5000,1,602,181,0.30066445182724255,0.30066445182724255
cell,food,5000,2,602,131,0.21760797342192692,0.5182724252491694
cell,food,5000,3,602,143,0.23754152823920266,0.7558139534883721
cell,food,5000,4,602,70,0.11627906976744186,0.872093023255814
cell,food,5000,5,602,32,0.053156146179401995,0.925249169435216
cell,food,5000,6,602,45,0.07475083056478406,1.0
cell,medical,200,1,615,238,0.38699186991869916,0.38699186991869916
cell,medical,200,2,615,113,0.183739837398374,0.5707317073170731
cell,medical,200,3,615,114,0.18536585365853658,0.7560975609756098
cell,medical,200,4,615,79,0.12845528455284552,0.8845528455284553
cell,medical,200,5,615,34,0.055284552845528454,0.9398373983739837
cell,medical,200,6,615,37,0.06016260162601626,1.0
cell,medical,1000,1,612,201,0.3284313725490196,0.3284313725490196
cell,medical,1000,2,612,127,0.20751633986928106,0.5359477124183006
cell,medical,1000,3,612,139,0.22712418300653595,0.7630718954248366
cell,medical,1000,4,612,80,0.13071895424836602,0.8937908496732027
cell,medical,1000,5,612,33,0.05392156862745098,0.9477124183006536
cell,medical,1000,6,612,32,0.05228758169934641,1.0
cell,medical,5000,1,636,226,0.3553459119496855,0.3553459119496855
cell,medical,5000,2,636,106,0.16666666666666666,0.5220125786163522
