policy,estimator,value,lo,hi,gain_vs_cash,gain_lo,gain_hi,share_cash,share_food,share_medical
all_cash,IPW,0.22300800436601784,0.20805439330543937,0.23849645261051486,0.0,0.0,0.0,1.0,0.0,0.0
all_cash,DR,0.22773547094687305,0.21590749823678143,0.2394251715416703,0.0,0.0,0.0,1.0,0.0,0.0
all_food,IPW,0.2083682008368201,0.19432804256867378,0.22216618155357468,-0.014639803529197743,-0.03712752410405676,0.006566081498999464,0.0,1.0,0.0
all_food,DR,0.20887983789043896,0.19676318446790178,0.22119005382142223,-0.018855633056434076,-0.03570028239350612,-0.0025133459575875632,0.0,1.0,0.0
all_medical,IPW,0.18127160269237766,0.16875989175914136,0.1940162816081499,-0.04173640167364017,-0.06334853101691833,-0.022344119519738023,0.0,0.0,1.0
all_medical,DR,0.1781939580927404,0.16767433818993824,0.18886535819691466,-0.04954151285413263,-0.06585228554872452,-0.032964977233610165,0.0,0.0,1.0
depth2_tree,IPW,0.22300800436601784,0.20805439330543937,0.23834500636710937,0.0,0.0,0.0,1.0,0.0,0.0
depth2_tree,DR,0.22773547094687305,0.2155683018241424,0.24050876148434325,0.0,0.0,0.0,1.0,0.0,0.0
ml_argmax,IPW,0.20969164999090412,0.1955420001819174,0.22403163088957612,-0.0133163543751137,-0.027247021102419503,0.00012313534655266644,0.6036019647080225,0.29579770784064036,0.1006003274513371
ml_argmax,DR,0.2190032629195742,0.20767279534276797,0.23072829688068644,-0.008732208027298835,-0.01944473264162121,0.0019836638407682286,0.6036019647080225,0.29579770784064036,0.1006003274513371
