assignment,variable,kind,p_value,max_mean_range_in_SD
type,q42_age,continuous,0.5418479221387006,0.0354179389247931
type,q06_socsec,continuous,0.7969542274400625,0.0219241526095433
type,q07_emergfund,continuous,0.9402266669215013,0.0113356779085045
type,q13_pressure,continuous,0.7851024589673761,0.020656089348403
type,q15_fut_self,continuous,0.7980982773969546,0.0217345606966516
type,q16_fut_society,continuous,0.6949061229140691,0.0279635363330392
type,q17a_fut_econ,continuous,0.924344015739378,0.012372622654093
type,q17b_fut_job,continuous,0.8152294255746231,0.0209599436062648
type,q41_gender,categorical,0.4202749226639397,
type,q43_edu,categorical,0.9784226313431024,
type,q46_income,categorical,0.1054563802219312,
type,q23_hukou,categorical,0.6251365575280463,
type,q24_workstat,categorical,0.7613670984952561,
type,q25_unittype,categorical,0.3393149056779734,
type,q26_housing,categorical,0.682402629884141,
type,q27_minorchild,categorical,0.3517409215540504,
type,q28_hhsize,categorical,0.3840229180676542,
type,q29_foodexp,categorical,0.7561826653702641,
type,q30_medexp,categorical,0.8565981585753992,
type,q31_gotsubsidy,categorical,0.7907312499465655,
type,q47_province,categorical,0.0976848342230458,
type,q49_citytier,categorical,0.0359406136180593,
amount,q42_age,continuous,0.0425251026284909,0.0737024139362459
amount,q06_socsec,continuous,0.3178552716769824,0.0449494856035029
amount,q07_emergfund,continuous,0.3055391082997669,0.0496918655402306
amount,q13_pressure,continuous,0.647431410873507,0.0287343998811588
amount,q15_fut_self,continuous,0.7209674836280815,0.0267076860207063
amount,q16_fut_society,continuous,0.8891909306531326,0.0157418592474414
amount,q17a_fut_econ,continuous,0.9399433035688646,0.0106584331167383
amount,q17b_fut_job,continuous,0.7766511510375871,0.0218953377660278
amount,q41_gender,categorical,0.9111380648384364,
amount,q43_edu,categorical,0.3209149184119669,
amount,q46_income,categorical,0.6377268924769095,
amount,q23_hukou,categorical,0.5402189959450929,
amount,q24_workstat,categorical,0.4593094002765746,
amount,q25_unittype,categorical,0.0906261079253663,
amount,q26_housing,categorical,0.4220550819076776,
amount,q27_minorchild,categorical,0.441653705487781,
amount,q28_hhsize,categorical,0.0903715008544975,
amount,q29_foodexp,categorical,0.4571466721253302,
amount,q30_medexp,categorical,0.204854901258101,
amount,q31_gotsubsidy,categorical,0.6825777969768514,
amount,q47_province,categorical,0.2174667378286197,
amount,q49_citytier,categorical,0.0760185941024303,
cell,q42_age,continuous,0.0457190840036565,0.1557415063768627
cell,q06_socsec,continuous,0.8406861145461944,0.0812209928431436
cell,q07_emergfund,continuous,0.4692484230421266,0.1369467394672532
cell,q13_pressure,continuous,0.7892239043281737,0.0950088458370202
cell,q15_fut_self,continuous,0.959940577375708,0.0678289778793393
cell,q16_fut_society,continuous,0.772976632014232,0.0998854670455136
cell,q17a_fut_econ,continuous,0.9981756655873496,0.0471645014530266
cell,q17b_fut_job,continuous,0.617081814603102,0.0959239802768402
cell,q41_gender,categorical,0.9081767765932364,
cell,q43_edu,categorical,0.6729028293037643,
cell,q46_income,categorical,0.29536261433961,
cell,q23_hukou,categorical,0.4101001503151628,
cell,q24_workstat,categorical,0.4575424189257695,
cell,q25_unittype,categorical,0.062725019678011,
cell,q26_housing,categorical,0.5812119508883568,
cell,q27_minorchild,categorical,0.2701061989548249,
cell,q28_hhsize,categorical,0.0737876531142363,
cell,q29_foodexp,categorical,0.521790774133681,
cell,q30_medexp,categorical,0.5394744338982637,
cell,q31_gotsubsidy,categorical,0.940642309018528,
cell,q47_province,categorical,0.0566444435234059,
cell,q49_citytier,categorical,0.0170868030118039,
