source,target,observed_spearman,assumed_reliability,sensitivity_adjusted,assumption
cash,food,0.1879468089657944,0.4,0.469867022414486,assumed equal reliability in source and target; not estimated
cash,food,0.1879468089657944,0.6,0.31324468160965735,assumed equal reliability in source and target; not estimated
cash,food,0.1879468089657944,0.8,0.234933511207243,assumed equal reliability in source and target; not estimated
cash,medical,0.1120999195574692,0.4,0.28024979889367296,assumed equal reliability in source and target; not estimated
cash,medical,0.1120999195574692,0.6,0.18683319926244868,assumed equal reliability in source and target; not estimated
cash,medical,0.1120999195574692,0.8,0.14012489944683648,assumed equal reliability in source and target; not estimated
food,cash,0.1979395519399044,0.4,0.49484887984976095,assumed equal reliability in source and target; not estimated
food,cash,0.1979395519399044,0.6,0.329899253233174,assumed equal reliability in source and target; not estimated
food,cash,0.1979395519399044,0.8,0.24742443992488047,assumed equal reliability in source and target; not estimated
food,medical,0.1400512236035828,0.4,0.350128059008957,assumed equal reliability in source and target; not estimated
food,medical,0.1400512236035828,0.6,0.23341870600597134,assumed equal reliability in source and target; not estimated
food,medical,0.1400512236035828,0.8,0.1750640295044785,assumed equal reliability in source and target; not estimated
medical,cash,0.1406897602602423,0.4,0.35172440065060573,assumed equal reliability in source and target; not estimated
medical,cash,0.1406897602602423,0.6,0.2344829337670705,assumed equal reliability in source and target; not estimated
medical,cash,0.1406897602602423,0.8,0.17586220032530286,assumed equal reliability in source and target; not estimated
medical,food,0.153144812903484,0.4,0.38286203225870996,assumed equal reliability in source and target; not estimated
medical,food,0.153144812903484,0.6,0.25524135483914,assumed equal reliability in source and target; not estimated
medical,food,0.153144812903484,0.8,0.19143101612935498,assumed equal reliability in source and target; not estimated
