domain,form,N,delta_r2,lo,hi,seed_min,seed_max,seeds,all_r2_mean_prediction,dropped_r2_mean_prediction
resources_position,cash,1798,0.0030668314338205827,-0.00258394141127235,0.008328365657810442,0.001112659439162389,0.0048282341151402175,3,0.0427419080765038,0.03995487911580542
resources_position,food,1836,0.001714498570776694,-0.005416349974084823,0.008568464654200024,-0.0007025173900324644,0.0037063017591217884,3,0.03172060086693329,0.03007501908617294
resources_position,medical,1863,-0.00017423429544209204,-0.003832095155814022,0.0036139528824665587,-0.0016597640886759635,0.0015908005504104983,3,0.03140629475965473,0.03162434965444294
liquidity,cash,1798,-0.0005351254679173042,-0.00317248239740707,0.0021043131229453262,-0.0020274931361271564,0.0010714579819383063,3,0.0427419080765038,0.0433343390891352
liquidity,food,1836,0.0004809389530167074,-0.0025018654869283044,0.003207173792863563,-0.0017376859198604544,0.0018361003767699557,3,0.03172060086693329,0.031211426806625697
liquidity,medical,1863,0.0005666155940740788,-0.0016519819155796412,0.0027746318926490836,-0.0007457119619688202,0.0031761323921567497,3,0.03140629475965473,0.03081137393552491
household_needs,cash,1798,0.01141889725422729,0.0029305003064871503,0.020672158512195494,0.004430507914672477,0.015949712698165808,3,0.0427419080765038,0.031128987772476746
household_needs,food,1836,0.013894545372718095,0.0040003551607915655,0.024132762221081776,0.01170901264978419,0.015894104401543263,3,0.03172060086693329,0.017746659872722392
household_needs,medical,1863,0.014941376512668136,0.003283389969363046,0.026409479528958658,0.012589765882983439,0.01838215011140365,3,0.03140629475965473,0.015994655231443944
expectations,cash,1798,0.0013805948628135372,-0.0025721203832889564,0.005339671000019553,-8.60076882490679e-05,0.004283567266805788,3,0.0427419080765038,0.04132978085452599
expectations,food,1836,0.0014492017713128025,-0.0023958266490365456,0.0053099115181129775,-0.001393634986707748,0.003403634603528105,3,0.03172060086693329,0.03034759020221045
expectations,medical,1863,0.00033617031667358227,-0.0024684962526632815,0.0030546003294041582,-0.0007791133743435541,0.0013868936399947795,3,0.03140629475965473,0.031041256795906635
security_pressure,cash,1798,-0.0010645419077170242,-0.004191339510067133,0.0017631424168505527,-0.002365910935699156,7.774903577273395e-05,3,0.0427419080765038,0.04391233329600919
security_pressure,food,1836,-0.0015147747134622487,-0.004903215709676573,0.002032955934105641,-0.004805800965994811,0.001020836410657311,3,0.03172060086693329,0.0331919813187459
security_pressure,medical,1863,0.0014457846880500114,-0.0015337543620148784,0.0041200509459531935,-0.0003517808937646416,0.004603597092193268,3,0.03140629475965473,0.029919309998249655
social_wellbeing,cash,1798,0.0013857166433263919,-0.004030579258219462,0.00670520913405324,-0.00010657942006375709,0.002649843897888915,3,0.0427419080765038,0.04141174413619986
social_wellbeing,food,1836,-0.0032291802055425625,-0.0072587312559275535,0.0009626105261396621,-0.003570147631913323,-0.00279177561004329,3,0.03172060086693329,0.0349779035036466
social_wellbeing,medical,1863,0.00014874609868087418,-0.003936556365848386,0.0042157638531209775,-0.0002704862898604832,0.00040282324164664374,3,0.03140629475965473,0.03111042146756715
demographics_exposure,cash,1798,0.0070615751412473155,-9.83646561934281e-05,0.014197912509746257,0.0019161623330136157,0.009927195090086993,3,0.0427419080765038,0.03553403080713835
demographics_exposure,food,1836,0.0010588377673464988,-0.0031313455621495363,0.004674973864730612,-0.002565902385009089,0.0064315273357336,3,0.03172060086693329,0.030730377316784407
demographics_exposure,medical,1863,0.005470654643907169,-0.0009343113423960862,0.011444556407678969,0.0015359199026530046,0.012813294341555315,3,0.03140629475965473,0.026029758953880267
