form,domain,seed,delta_r2
cash,resources_position,20260921,0.001112659439162389
cash,liquidity,20260921,-0.0006493412495630624
cash,household_needs,20260921,0.013876471149843583
cash,expectations,20260921,-5.577499011610865e-05
cash,security_pressure,20260921,-0.002365910935699156
cash,social_wellbeing,20260921,0.001613885452154018
cash,demographics_exposure,20260921,0.009341368000641337
cash,resources_position,20260922,0.0032596007471591415
cash,liquidity,20260922,0.0010714579819383063
cash,household_needs,20260922,0.015949712698165808
cash,expectations,20260922,-8.60076882490679e-05
cash,security_pressure,20260922,7.774903577273395e-05
cash,social_wellbeing,20260922,-0.00010657942006375709
cash,demographics_exposure,20260922,0.009927195090086993
cash,resources_position,20260923,0.0048282341151402175
cash,liquidity,20260923,-0.0020274931361271564
cash,household_needs,20260923,0.004430507914672477
cash,expectations,20260923,0.004283567266805788
cash,security_pressure,20260923,-0.0009054638232246504
cash,social_wellbeing,20260923,0.002649843897888915
cash,demographics_exposure,20260923,0.0019161623330136157
food,resources_position,20260921,-0.0007025173900324644
food,liquidity,20260921,-0.0017376859198604544
food,household_needs,20260921,0.01170901264978419
food,expectations,20260921,-0.001393634986707748
food,security_pressure,20260921,-0.004805800965994811
food,social_wellbeing,20260921,-0.003325617374671075
food,demographics_exposure,20260921,-0.0006891116486850146
food,resources_position,20260922,0.0037063017591217884
food,liquidity,20260922,0.0018361003767699557
food,household_needs,20260922,0.015894104401543263
food,expectations,20260922,0.0023376056971180503
food,security_pressure,20260922,0.001020836410657311
food,social_wellbeing,20260922,-0.00279177561004329
food,demographics_exposure,20260922,0.0064315273357336
food,resources_position,20260923,0.0021397113432407577
food,liquidity,20260923,0.001344402402140621
food,household_needs,20260923,0.014080519066826835
food,expectations,20260923,0.003403634603528105
food,security_pressure,20260923,-0.0007593595850492463
food,social_wellbeing,20260923,-0.003570147631913323
food,demographics_exposure,20260923,-0.002565902385009089
medical,resources_position,20260921,0.0015908005504104983
medical,liquidity,20260921,0.0031761323921567497
medical,household_needs,20260921,0.01838215011140365
medical,expectations,20260921,0.0013868936399947795
medical,security_pressure,20260921,0.004603597092193268
medical,social_wellbeing,20260921,0.000313901344256462
medical,demographics_exposure,20260921,0.012813294341555315
medical,resources_position,20260922,-0.0016597640886759635
medical,liquidity,20260922,-0.0007457119619688202
medical,household_needs,20260922,0.01385221354361732
medical,expectations,20260922,-0.0007791133743435541
medical,security_pressure,20260922,8.553786572140787e-05
medical,social_wellbeing,20260922,-0.0002704862898604832
medical,demographics_exposure,20260922,0.002062749687513188
medical,resources_position,20260923,-0.00045373934806081095
medical,liquidity,20260923,-0.0007305736479656932
medical,household_needs,20260923,0.012589765882983439
medical,expectations,20260923,0.0004007306843695213
medical,security_pressure,20260923,-0.0003517808937646416
medical,social_wellbeing,20260923,0.00040282324164664374
medical,demographics_exposure,20260923,0.0015359199026530046
