domain,form,N,delta_r2,lo,hi,seed_min,seed_max,seeds,all_r2_mean_prediction,dropped_r2_mean_prediction,panel,domain_label
resources_position,cash,1798,0.0030668314338205,-0.0025839414112723,0.0083283656578104,0.0011126594391623,0.0048282341151402,3,0.0427419080765038,0.0399548791158054,A,Resources / position
resources_position,food,1836,0.0017144985707766,-0.0054163499740848,0.0085684646542,-0.0007025173900324,0.0037063017591217,3,0.0317206008669332,0.0300750190861729,A,Resources / position
resources_position,medical,1863,-0.000174234295442,-0.003832095155814,0.0036139528824665,-0.0016597640886759,0.0015908005504104,3,0.0314062947596547,0.0316243496544429,A,Resources / position
liquidity,cash,1798,-0.0005351254679173,-0.003172482397407,0.0021043131229453,-0.0020274931361271,0.0010714579819383,3,0.0427419080765038,0.0433343390891352,A,Liquidity
liquidity,food,1836,0.0004809389530167,-0.0025018654869283,0.0032071737928635,-0.0017376859198604,0.0018361003767699,3,0.0317206008669332,0.0312114268066256,A,Liquidity
liquidity,medical,1863,0.000566615594074,-0.0016519819155796,0.002774631892649,-0.0007457119619688,0.0031761323921567,3,0.0314062947596547,0.0308113739355249,A,Liquidity
household_needs,cash,1798,0.0114188972542272,0.0029305003064871,0.0206721585121954,0.0044305079146724,0.0159497126981658,3,0.0427419080765038,0.0311289877724767,A,Household needs
household_needs,food,1836,0.013894545372718,0.0040003551607915,0.0241327622210817,0.0117090126497841,0.0158941044015432,3,0.0317206008669332,0.0177466598727223,A,Household needs
household_needs,medical,1863,0.0149413765126681,0.003283389969363,0.0264094795289586,0.0125897658829834,0.0183821501114036,3,0.0314062947596547,0.0159946552314439,A,Household needs
expectations,cash,1798,0.0013805948628135,-0.0025721203832889,0.0053396710000195,-8.60076882490679e-05,0.0042835672668057,3,0.0427419080765038,0.0413297808545259,A,Expectations
expectations,food,1836,0.0014492017713128,-0.0023958266490365,0.0053099115181129,-0.0013936349867077,0.0034036346035281,3,0.0317206008669332,0.0303475902022104,A,Expectations
expectations,medical,1863,0.0003361703166735,-0.0024684962526632,0.0030546003294041,-0.0007791133743435,0.0013868936399947,3,0.0314062947596547,0.0310412567959066,A,Expectations
security_pressure,cash,1798,-0.001064541907717,-0.0041913395100671,0.0017631424168505,-0.0023659109356991,7.774903577273395e-05,3,0.0427419080765038,0.0439123332960091,A,Security / pressure
security_pressure,food,1836,-0.0015147747134622,-0.0049032157096765,0.0020329559341056,-0.0048058009659948,0.0010208364106573,3,0.0317206008669332,0.0331919813187459,A,Security / pressure
security_pressure,medical,1863,0.00144578468805,-0.0015337543620148,0.0041200509459531,-0.0003517808937646,0.0046035970921932,3,0.0314062947596547,0.0299193099982496,A,Security / pressure
social_wellbeing,cash,1798,0.0013857166433263,-0.0040305792582194,0.0067052091340532,-0.0001065794200637,0.0026498438978889,3,0.0427419080765038,0.0414117441361998,A,Social / wellbeing
social_wellbeing,food,1836,-0.0032291802055425,-0.0072587312559275,0.0009626105261396,-0.0035701476319133,-0.0027917756100432,3,0.0317206008669332,0.0349779035036466,A,Social / wellbeing
social_wellbeing,medical,1863,0.0001487460986808,-0.0039365563658483,0.0042157638531209,-0.0002704862898604,0.0004028232416466,3,0.0314062947596547,0.0311104214675671,A,Social / wellbeing
demographics_exposure,cash,1798,0.0070615751412473,-9.83646561934281e-05,0.0141979125097462,0.0019161623330136,0.0099271950900869,3,0.0427419080765038,0.0355340308071383,A,Demographics / exposure
demographics_exposure,food,1836,0.0010588377673464,-0.0031313455621495,0.0046749738647306,-0.002565902385009,0.0064315273357336,3,0.0317206008669332,0.0307303773167844,A,Demographics / exposure
demographics_exposure,medical,1863,0.0054706546439071,-0.000934311342396,0.0114445564076789,0.001535919902653,0.0128132943415553,3,0.0314062947596547,0.0260297589538802,A,Demographics / exposure
