domain,context,row_type,mean_abs_standardized_coef,lo,hi,encoded_predictors
resources_position,cash,form,0.004515196,0.004478305531665683,0.0078810163307935,27
resources_position,food,form,0.0046998556,0.004748352698516101,0.00795164860319346,27
resources_position,medical,form,0.004134154,0.004307402623817324,0.007358127913903445,27
resources_position,cash-food,difference,-0.00018465938,-0.002380729280412197,0.0021032224060036236,27
resources_position,cash-medical,difference,0.00038104225,-0.0017966015147976577,0.002828810946084559,27
resources_position,food-medical,difference,0.00056570163,-0.0018233542330563068,0.0028337641153484564,27
liquidity,cash,form,0.0039550154,0.00021056538062111943,0.02751177190802991,1
liquidity,food,form,0.0018261025,0.0005438020074507221,0.02583682411350309,1
liquidity,medical,form,0.0040034167,0.0004219332622596994,0.022482340363785616,1
liquidity,cash-food,difference,0.002128913,-0.020030750334262847,0.02219033478759229,1
liquidity,cash-medical,difference,-4.84013e-05,-0.016763477120548487,0.02216943996027111,1
liquidity,food-medical,difference,-0.0021773144,-0.017698274832218884,0.019835865264758463,1
household_needs,cash,form,0.006707807,0.006169322971254587,0.010370271280407904,20
household_needs,food,form,0.0077830167,0.006387551396619529,0.011138434312306343,20
household_needs,medical,form,0.008137124,0.006919319869484753,0.010633400501683354,20
household_needs,cash-food,difference,-0.0010752096,-0.003894037625286728,0.002620073466096067,20
household_needs,cash-medical,difference,-0.0014293166,-0.0034262255067005754,0.002163551305420696,20
household_needs,food-medical,difference,-0.000354107,-0.003142127639148384,0.0031496396753937007,20
expectations,cash,form,0.0122058075,0.010505315382033587,0.022485797759145495,8
expectations,food,form,0.013036553,0.010124267567880452,0.02384692677296698,8
expectations,medical,form,0.010060653,0.007661533926147967,0.019270361401140676,8
expectations,cash-food,difference,-0.0008307453,-0.010969452816061676,0.009506745333783321,8
expectations,cash-medical,difference,0.0021451544,-0.005270515847951174,0.011466380232013745,8
expectations,food-medical,difference,0.0029758997,-0.005134550645016133,0.012148781749419866,8
security_pressure,cash,form,0.012869141,0.009434297773987054,0.02329150191508233,7
security_pressure,food,form,0.009892619,0.0068864946253597735,0.022236989345401525,7
security_pressure,medical,form,0.0105612585,0.008281827764585614,0.021309557603672143,7
security_pressure,cash-food,difference,0.0029765218,-0.008699359768070281,0.012444663536734872,7
security_pressure,cash-medical,difference,0.0023078825,-0.007314421841874718,0.010539245675317941,7
security_pressure,food-medical,difference,-0.0006686393,-0.010034873173572123,0.010206445003859688,7
social_wellbeing,cash,form,0.012174585,0.00985273604746908,0.022218079911544914,11
social_wellbeing,food,form,0.0059045986,0.007315832271706313,0.01820352841168641,11
social_wellbeing,medical,form,0.015272823,0.011585174454376101,0.02311174892820417,11
social_wellbeing,cash-food,difference,0.0062699863,-0.004429537034593522,0.011643914063461124,11
social_wellbeing,cash-medical,difference,-0.0030982383,-0.010192607739008963,0.007044857507571564,11
social_wellbeing,food-medical,difference,-0.009368224,-0.012635135883465409,0.002397835347801438,11
demographics_exposure,cash,form,0.0049718893,0.0043365819146856666,0.009039045078679918,14
demographics_exposure,food,form,0.0041278303,0.003219270589761436,0.007623680250253528,14
demographics_exposure,medical,form,0.0069193915,0.004999003396369517,0.009540444146841763,14
demographics_exposure,cash-food,difference,0.00084405905,-0.0021431227913126347,0.004405936133116483,14
demographics_exposure,cash-medical,difference,-0.0019475021,-0.0042067603440955285,0.0026872374233789737,14
demographics_exposure,food-medical,difference,-0.0027915612,-0.004835998918861151,0.0009196731378324273,14
