transfer_type,outcome_ord,N,percent
cash,1.0,498,27.697441601779754
cash,2.0,347,19.299221357063402
cash,3.0,388,21.579532814238043
cash,4.0,286,15.906562847608456
cash,5.0,112,6.229143492769744
cash,6.0,167,9.2880978865406
food,1.0,558,30.392156862745097
food,2.0,360,19.607843137254903
food,3.0,406,22.113289760348582
food,4.0,259,14.106753812636166
food,5.0,103,5.610021786492374
food,6.0,150,8.169934640522875
medical,1.0,665,35.69511540526033
medical,2.0,346,18.572195383789587
medical,3.0,402,21.578099838969404
medical,4.0,242,12.989801395598496
medical,5.0,113,6.0654857756307035
medical,6.0,95,5.099302200751476
