"variable","label","coding","missing coding","nonmissing N","missing N","observed values (abridged)"
"id","Respondent ID (platform original ID)","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","suppressed (respondent-level identifier)"
"q01_lifesat","Q1 life satisfaction 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q02_safety","Q2 safety 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q03a_fair_dist","Q3-1 distribution fairness 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q03b_fair_opp","Q3-2 opportunity fairness 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q03c_fair_rule","Q3-3 rule fairness 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q04_trust_gov","Q4 institutional trust 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q05_trust_soc","Q5 interpersonal trust 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q06_socsec","Q6 social protection 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q07_emergfund","Q7 emergency liquidity 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q08_support","Q8 social support 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q09_gain","Q9 sense of gain 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q10_effort","Q10 returns to effort 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q11_mobility","Q11 mobility channel 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q12_voice","Q12 voice/response 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q13_pressure","Q13 pressure tolerance 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q14a_pr_income","Q14-A 压力来源(多选,最多三项)：收入与消费（工资、物价、日常开销等）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14b_pr_housing","Q14-B 压力来源(多选,最多三项)：住房（房价、房贷、租金等）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14c_pr_work","Q14-C 压力来源(多选,最多三项)：工作与职业发展（就业、工作强度、晋升等）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14d_pr_edu","Q14-D 压力来源(多选,最多三项)：教育（子女教育或自身学业）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14e_pr_med","Q14-E 压力来源(多选,最多三项)：医疗与健康（看病、医药费用、身心健康等）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14f_pr_pension","Q14-F 压力来源(多选,最多三项)：养老（自己或家人的养老保障）","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14g_pr_other","Q14-G 压力来源(多选,最多三项)：其他","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q14h_pr_none","Q14-H 压力来源(多选,最多三项)：以上均无/没有明显压力","0=not selected, 1=selected","Stata system missing (.)","5497","0","[0.0, 1.0]"
"q15_fut_self","Q15 personal outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q16_fut_society","Q16 societal outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q17a_fut_econ","Q17-1 economic outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q17b_fut_job","Q17-2 employment/income outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
